86246,205,7,707,1078778070,12564,3/2/2012,12,OZ,1,7.59
86246,205,63,6319,107654575,17876,3/2/2012,64,OZ,1,1.59
86246,205,97,9753,1022027929,0,3/2/2012,1,CT,1,5.99
86246,205,18,1835,104116343,8435,3/9/2012,6.7,LB,1,5.89
86246,205,10,1010,105150050,16728,3/10/2012,5,OZ,2,5.18
86246,205,64,6406,108500080,673,3/10/2012,0.75,LT,4,27.96
86252,205,9,901,104113040,28204,3/26/2013,12,OZ,1,1.29
86252,205,26,2634,103700030,3293,3/26/2013,30,RL,1,9.99
86252,205,97,9753,1021011525,0,3/26/2013,1,CT,1,3.85
16646740,4,82,8201,102113020,16397,8/18/2012,1,CT,1,7.49
16646740,4,5,501,103800030,9891,8/18/2012,11.4,OZ,1,2.99
